x y error+ error-
10.0 0.02273158720644343 0.03563087664643795 0.02273058720644343
16.0 0.010063694804687471 0.0016266798330384254 0.0016256798330384254
22.0 0.009055219886764368 0.0019241910102300135 0.0019231910102300135
28.0 0.00894561537937541 0.001962411419467708 0.0019614114194677077
32.0 0.009252883931909773 0.0019068208506169354 0.0019058208506169355
40.0 0.009348627452848465 0.0020812464863483775 0.0020802464863483774
42.0 0.00958234346341894 0.0019456333889698698 0.0019446333889698699
52.0 0.00943037624087026 0.0019686959988971047 0.0019676959988971046
