x y error+ error-
16.0 3.5020926717234206 0.25189866278900647 0.25189766278900644
25.0 3.6639323783716202 0.39368852621234346 0.39368752621234343
28.0 4.076396456521683 0.5543080872975509 0.5543070872975508
43.0 3.538607106663495 0.44543138099152063 0.44543038099152066
58.0 4.527490415059971 1.3926529342002316 1.3926519342002317
73.0 3.7297560419845515 0.6063606409616326 0.6063596409616325
83.0 7.031640529764215 8.26510556843733 7.031639529764214
108.0 4.176353620970729 1.0394557182494795 1.0394547182494795
133.0 4.449783005473323 1.1427317731424746 1.1427307731424747
193.0 4.289409114251673 0.4714417593693695 0.47144075936936947
