x y error+ error-
16.0 6.41651001131221 8.83432289704754 6.416509011312209
25.0 3.3793046840104517 0.045892263791127264 0.04589126379112726
28.0 3.3772915905638587 0.5292001884722274 0.5291991884722274
43.0 3.0056121798100475 0.07872940872710844 0.07872840872710844
58.0 3.046941362525241 0.09454812840248832 0.09454712840248831
73.0 3.0032820284428334 0.057168245927631686 0.057167245927631685
83.0 2.945265977622911 0.6124895926858688 0.6124885926858689
108.0 2.7008444755721035 0.3740165093506549 0.37401550935065486
133.0 2.703910576295319 0.3531156296370571 0.3531146296370571
193.0 2.455587090637919 0.34845272845791503 0.34845172845791506
