x y error+ error-
16.0 19.275116594675325 6.571242806218788 6.571241806218788
25.0 16.94195682280385 0.19615323116429878 0.1961522311642988
28.0 16.176867512490862 1.4713049276762358 1.4713039276762359
43.0 15.29307238596226 0.8314665705582562 0.8314655705582562
58.0 15.25503020690888 0.8325154650418528 0.8325144650418528
73.0 14.985354836681008 0.7409858854009083 0.7409848854009082
83.0 14.457261810423518 0.9759903577787893 0.9759893577787893
108.0 14.415179045601809 0.8369938649173082 0.8369928649173082
133.0 13.668563670771423 0.25083355949551944 0.25083255949551947
193.0 13.787603784323666 0.48927965483877145 0.4892786548387714
