x y error+ error-
16.0 3.673695178710919 0.7466814821081881 0.7466804821081882
25.0 3.8559174087863455 0.5596860720597088 0.5596850720597087
28.0 3.671345423672551 0.7551083529639564 0.7551073529639564
43.0 3.66576915731157 0.7500240295604483 0.7500230295604483
58.0 3.6665059342208988 0.7480729199448591 0.7480719199448591
73.0 3.4738719728748197 0.8657559429686391 0.8657549429686391
83.0 3.203196438786391 0.8818989356032848 0.8818979356032848
108.0 3.6634482941437505 0.7556713934997066 0.7556703934997065
133.0 2.7207489093330506 0.8675614468455934 0.8675604468455934
193.0 3.4822025949534106 0.861365209957199 0.861364209957199
