x y error+ error-
43.0 5.676393884499941 2.7691371819438255 2.769136181943826
58.0 5.814271892854462 2.3978858863058474 2.3978848863058477
73.0 6.2380857776079806 2.2935292119755193 2.2935282119755196
83.0 3.5028553543917313 1.1080296310454394 1.1080286310454395
103.0 3.3175945636428987 1.3689186504479713 1.3689176504479714
