,lambda_x,lambda_y,sigma_xx [MPa],sigma_yy [MPa]
0,1.0,1.0,0.0012570710245128848,0.001970865467009426
1,1.0010282776349615,1.001759899434318,0.002097272737554916,0.0011159279085386578
2,1.002185089974293,1.0040226272784412,0.00041993927926850744,0.0002581035031564116
3,1.0032133676092545,1.0062853551225646,0.0021018507597093117,0.0011209691188169102
4,1.004370179948586,1.0084223758642363,-0.00042085488369938653,0.0002592345439239682
5,1.0053984575835475,1.0106851037083597,0.00042128575637274143,0.001125870295476322
6,1.0065552699228792,1.0128221244500315,0.0021088524406513284,0.0002603655846915248
7,1.0075835475578407,1.0150848522941545,0.00042220136080362063,0.0002609472628005538
8,1.0084832904884318,1.0167190446260215,0.001267735123178418,0.0011325919091806581
9,1.0096401028277635,1.0191074795725958,0.0004230631061503304,0.0011352525479386244
10,1.010668380462725,1.021370207416719,0.0004234939788236853,0.00026256303532563467
11,1.0118251928020565,1.0236329352608424,0.002119893552906047,0.0011402937582168768
12,1.0129820051413883,1.0258956631049654,0.0004244634423387338,0.00026372639154369286
13,1.0140102827763495,1.0281583909490886,0.002124471575060443,0.000264308069652722
14,1.0151670951156813,1.030421118793212,0.0029776533273872903,0.001147855573634255
15,1.0160668380462725,1.0325581395348837,0.002128780301793992,0.0020350331798888025
16,1.017095115681234,1.0344437460716531,0.00127856079909646,0.00026592384217780286
17,1.0182519280205655,1.0367064739157763,0.0021333583239483878,0.001154857254576272
18,1.019408740359897,1.0389692017598995,0.0038444075689248155,0.0020476685210349347
19,1.0205655526992288,1.0412319296040224,0.001282923384914178,0.0020521280532041575
20,1.0217223650385603,1.0434946574481458,0.0021406293003112514,0.0020565875853733808
21,1.022879177377892,1.0458830923947204,0.003000274142738422,0.0020612948693297835
22,1.0239074550128535,1.0481458202388436,0.002145207322465647,0.0038620625767155337
23,1.0248071979434448,1.0499057196731616,0.003005929346576205,0.0029688850684845185
24,1.0259640102827763,1.0521684475172848,0.004728935308238231,0.002975283527683839
25,1.027120822622108,1.0545568824638591,0.004734267357570998,0.005692980599419291
26,1.0282776349614395,1.0569453174104335,0.00560134475361354,0.006611568823561409
27,1.029305912596401,1.059208045254557,0.004744339006310668,0.0029951898451928347
28,1.0304627249357325,1.0615964802011313,0.005613247611214968,0.006640663500829699
29,1.0316195372750643,1.0638592080452547,0.004755003104976202,0.0057431988094988045
30,1.0325192802056555,1.0661219358893776,0.0030285501619273366,0.004841856264107713
31,1.033676092544987,1.068007542426147,0.005630751813570011,0.006680766974902205
32,1.0348329048843188,1.0703959773727216,0.003902575379827726,0.0076129276882550044
33,1.0359897172236505,1.0727844123192962,0.005643354839265643,0.007629914843402022
34,1.037146529562982,1.0751728472658706,0.005649656352113457,0.009581660335531324
35,1.0381748071979433,1.0775612822124452,0.00565525769686707,0.011449665723594104
36,1.039331619537275,1.0799497171590193,0.006532568318901791,0.014251264476648583
37,1.0404884318766068,1.082338152105594,0.006539839295264655,0.014282782812704495
38,1.041388174807198,1.0840980515399121,0.008203686438875056,0.015234968333551464
39,1.0425449871465295,1.0864864864864865,0.01258130971289338,0.019085666643507262
40,1.0437017994858613,1.088874921433061,0.010845926933689234,0.020060677644225203
41,1.0448586118251928,1.0912633563796355,0.012609230262126778,0.021039781935340014
42,1.0460154241645243,1.0937774984286612,0.013499800990683992,0.02296276667652288
43,1.047172236503856,1.0961659333752358,0.015269890563726877,0.030621259149985168
44,1.0483290488431878,1.0985543683218102,0.017043857990829955,0.030687979783454167
45,1.0492287917737788,1.1008170961659334,0.018729162593573424,0.03735420480563065
46,1.0502570694087403,1.102828409805154,0.017955369131312217,0.03940697916784484
47,1.0515424164524423,1.1052168447517285,0.020532946409672664,0.04612173122485791
48,1.0525706940874036,1.107605279698303,0.020553025076250998,0.05296004679277233
49,1.0538560411311053,1.1101194217473287,0.023227667196101462,0.055934037702436094
50,1.0548843187660668,1.112507856693903,0.02678650312894349,0.06186954575787002
51,1.0560411311053983,1.115021998742929,0.027700890344520397,0.06879313102784138
52,1.05719794344473,1.1174104336895034,0.028617216487127405,0.07564303707066904
53,1.0580976863753213,1.1192960402262728,0.03387331373939851,0.08066220821167912
54,1.0592544987146528,1.1218101822752984,0.036573463521511584,0.08757232871060813
55,1.0604113110539846,1.124198617221873,0.03927943008471495,0.09363505192285008
56,1.0615681233933163,1.126712759270899,0.04021192472438961,0.10263030532176225
57,1.0627249357326478,1.1292269013199245,0.04283852454116099,0.11166476813394968
58,1.0640102827763496,1.1317410433689503,0.04824048296517956,0.12364780036807299
59,1.0651670951156813,1.134129478315525,0.05007825186338966,0.12973974751938522
60,1.0660668380462726,1.1365179132620993,0.05012055278809628,0.13984916224887528
61,1.0672236503856043,1.1385292269013199,0.054557421054700905,0.14897464691330894
62,1.0683804627249356,1.1410433689503456,0.059093325405276134,0.16015672993493285
63,1.0695372750642673,1.1435575109993714,0.06363892439100186,0.16844690329116707
64,1.070822622107969,1.1461973601508486,0.06811266458662883,0.1837648038425225
65,1.0719794344473008,1.1487115021998742,0.0699829859153109,0.19804691880258327
66,1.0731362467866323,1.1512256442489,0.07716328512406707,0.20647088889571102
67,1.074293059125964,1.153739786297926,0.08084769889755841,0.2228388584674829
68,1.0751928020565553,1.1556253928346951,0.08451966045078976,0.23419486324370645
69,1.0763496143958868,1.1582652419861723,0.08641466001183823,0.24673927948394384
70,1.0776349614395886,1.1607793840351979,0.09274930696823443,0.2613991620603685
71,1.0787917737789203,1.1632935260842237,0.0964651852186975,0.278014194023042
72,1.079948586118252,1.1659333752357008,0.10281345852338859,0.29682845396960306
73,1.0811053984575834,1.1684475172847266,0.10745367714818299,0.31468984977085657
74,1.0823907455012853,1.1710873664362038,0.11384038429533737,0.3295502066303765
75,1.0832904884318766,1.1734758013827782,0.11847425832001665,0.3475177694583446
76,1.0,1.0,0.00041259231753104755,0.001098993997802012
77,1.0025361399949277,1.001113999257334,-0.00041363870940913796,0.00025389652529985644
78,1.0053258939893481,1.0024755539051862,0.002073948702375187,0.001101714616685047
79,1.0081156479837687,1.0038371085530386,-0.0004159407715409369,0.00025458714393939607
80,1.0109054019781893,1.0053224408961505,0.0004170918026068364,0.0002549638450155086
81,1.0136951559726097,1.006683995544003,0.002091214168363679,0.0011063396687862066
82,1.0164849099670301,1.0080455501918553,-0.0004193938647386352,0.00025565446365504824
83,1.0192746639614507,1.0094071048397077,0.0012616346874136039,0.001109332349557545
84,1.021303575957393,1.0105211040970417,0.002106910046535035,0.001110556628054911
85,1.0242201369515598,1.0118826587448941,0.002958097519767677,0.00025662760810167236
86,1.0271366979457266,1.0132442133927466,0.0012713661318798446,0.0011135493088262494
87,1.029926451940147,1.0147295457358583,0.0038244576752326283,0.0011151816801560704
88,1.0327162059345676,1.0160911003837108,0.0012782723182752412,0.0011166780205417398
89,1.0356327669287344,1.0174526550315632,0.0038456471107639594,0.001118174360927409
90,1.038422520923155,1.018937987374675,0.0038560063903570548,0.0002584169382132069
91,1.0408318539183363,1.0201757643272682,0.0047238314944513336,0.0019836032276208614
92,1.0434948009130105,1.0212897635846019,0.003013765567682087,0.0037125251360332983
93,1.0464113619071773,1.0227750959277138,0.005612636755701326,0.0045825581269903475
94,1.0493279229013441,1.0241366505755662,0.003030612476919342,0.0037228739517076127
95,1.052244483895511,1.025621982918678,0.005643923872856229,0.006329394264355691
96,1.0551610448896778,1.0269835375665306,0.004788864749674652,0.005469605449885149
97,1.0579507988840984,1.0284688699096423,0.003055516603617894,0.0037386221494728734
98,1.0608673598782652,1.0298304245574947,0.005690174393867825,0.006355365710769897
99,1.0631498858737003,1.0309444238148286,0.003947827277659488,0.0054907007101474515
100,1.0660664468678671,1.032305978462681,0.006597762389329539,0.006370643032190016
101,1.068983007862034,1.0337913108057928,0.006615812649226598,0.007253755921623198
102,1.0718995688562007,1.035152865453645,0.006633862909123657,0.008225916759881869
103,1.0749429368501142,1.036638197796757,0.007451021718480801,0.011743132851869594
104,1.077859497844281,1.0379997524446096,0.011028970395072892,0.012636060897119265
105,1.0807760588384479,1.039485084787721,0.010166973693739575,0.012654142548772663
106,1.0833121988333758,1.0408466394355738,0.01376656175437058,0.014430539256694064
107,1.0859751458280498,1.0419606386929077,0.013800402067708021,0.01620768936676769
108,1.089018513821963,1.043445971036019,0.016535000746234367,0.01808322124121937
109,1.0920618818158763,1.0448075256838718,0.02009570488467553,0.015368713286752362
110,1.0951052498097895,1.0462928580269835,0.019248043752072053,0.021670618836470618
111,1.0980218108039566,1.0477781903700951,0.020205377217418188,0.022587153482490005
112,1.1010651787978696,1.0491397450179478,0.02116996217847948,0.028913649241343393
113,1.104108546791783,1.0506250773610595,0.024872850045315573,0.030730938943860562
114,1.1063910727872177,1.0517390766183932,0.027663200483106564,0.03343088112338455
115,1.1094344407811312,1.0531006312662459,0.03130969829163237,0.03623399754208827
116,1.1124778087750444,1.0545859636093575,0.03690358370487831,0.04074273272207933
117,1.1155211767689577,1.0560712959524692,0.03884556146358874,0.047138865860419626
118,1.1186913517626174,1.057556628295581,0.04172533655128135,0.04988727691173677
119,1.1217347197565306,1.059041960638693,0.04915139135955092,0.05085263620278786
120,1.1247780877504439,1.0604035152865452,0.0539254915198257,0.05817921053520735
121,1.1274410347451178,1.061888847629657,0.05498350881168169,0.0655320702316045
122,1.1302307887395384,1.063002846886991,0.05875689209934473,0.06649945952289908
123,1.133400963733198,1.0644881792301026,0.06640381930524163,0.07289165822777775
124,1.1365711387268578,1.0659735115732145,0.07306093304189645,0.08029270427016097
125,1.1397413137205172,1.0674588439163262,0.08069464431837305,0.08500686710365875
126,1.142911488714177,1.068944176259438,0.08657777337456074,0.09235446344890909
127,1.1459548567080904,1.0704295086025497,0.09059081179406285,0.10071756218400861
128,1.1491250317017498,1.0719148409456616,0.10022900181612819,0.10819733875129933
129,1.1515343646969312,1.072905062507736,0.1079459535665069,0.11473707871098877
