x Psi11 Psi22 Psi4a4a Psi4s4s
0.0 0.06184689248790301 2.5152166213435994 5.078138769614622e-09 0.6184993708944023
0.061224489795918366 0.07949023383968523 2.510880392492254 5.13586102576518e-09 18.214096897395393
0.12244897959183673 0.22662427490161008 2.497335671591827 5.309465556824746e-09 3.6997072072608717
0.18367346938775508 8.746725566055602 2.475797344914099 5.598358385758891e-09 2.026823153755686
0.24489795918367346 3.594458064526407 2.4459323455516824 6.010087535657161e-09 1.5156764732182637
0.30612244897959184 1.8213208718975693 2.4087398742267396 6.546927753204076e-09 1.3020695632803836
0.36734693877551017 1.1153300505384323 2.365996287778671 7.224181879731867e-09 1.1901590823981678
0.42857142857142855 0.7671641100159832 2.318589764627177 8.058393527491596e-09 1.127986593019159
0.4897959183673469 0.5713207684721056 2.2659651932599445 9.08409748705735e-09 1.091571277811454
0.5510204081632653 0.4503064587879635 2.212452443473012 1.0317423780373914e-08 1.0684786388992507
0.6122448979591837 0.36970426720017713 2.156719247636829 1.1803040160519152e-08 1.0511591597150982
0.673469387755102 0.3140820936664568 2.098543561146471 1.3589750283633692e-08 1.0400569294688466
0.7346938775510203 0.2744471316873387 2.041700142285663 1.573132088953348e-08 1.0311751452718454
0.7959183673469388 0.24369395390522186 1.9830803665854546 1.829392642722276e-08 1.0236256287043943
0.8571428571428571 0.22004620348070603 1.9257928585147965 2.1354494693668962e-08 1.020517004235444
0.9183673469387755 0.20250467969162855 1.8691714842589136 2.500070683380271e-08 1.0160761121369433
0.9795918367346939 0.18851586958135158 1.816324868286756 2.936160302318227e-08 1.013855666087693
1.0408163265306123 0.17674750552032492 1.759037360216098 3.45612603536906e-08 1.0111911308285926
1.1020408163265305 0.16697754290362354 1.7084111902931909 4.077338675396384e-08 1.0094147739891923
1.163265306122449 0.15853984791647235 1.6573409311604337 4.8161763985287483e-08 1.007194327939942
1.2244897959183674 0.15232259897857148 1.6120438317557273 5.697950931510276e-08 1.007194327939942
1.2857142857142856 0.14632739464559563 1.567190821560871 6.748470309452621e-08 1.0040857034709916
1.346938775510204 0.14055423491754482 1.5218937221561646 7.998505651142756e-08 1.0049738818906917
1.4081632653061225 0.13744561044859438 1.4783729795908584 9.487430753738206e-08 1.0045297926808416
1.4693877551020407 0.13278267374516872 1.4339640586058522 1.1277449599302958e-07 1.0045297926808416
1.530612244897959 0.13034018309099338 1.3984369218178472 1.3385767544578115e-07 1.0027534358414414
1.5918367346938775 0.12678746941219288 1.362021606610142 1.5901058351229362e-07 1.0027534358414414
1.653061224489796 0.1247890679678676 1.3224976669334865 1.891133403643234e-07 1.0027534358414414
1.7142857142857142 0.12190248810384219 1.2883027977750316 2.2488724749601674e-07 1.0023093466315913
1.7755102040816326 0.120570220474292 1.255884285455977 2.6759623688335466e-07 1.0023093466315913
1.836734693877551 0.11901590823981678 1.2247980407664727 3.183652741594093e-07 1.0014211682118912
1.8979591836734693 0.1170175067954915 1.1972645097557688 3.7849137852466377e-07 1.0027534358414414
1.9591836734693877 0.1163513729807164 1.1675105326958146 4.506744674984912e-07 1.0009770790020411
2.020408163265306 0.11501910535116622 1.1377565556358604 5.363306742895823e-07 1.0014211682118912
2.0816326530612246 0.113464793116691 1.112887559884257 6.383452048745221e-07 1.0018652574217413
2.142857142857143 0.11257661469699087 1.085798118083403 7.597885536871074e-07 1.0018652574217413
2.204081632653061 0.11213252548714081 1.0595968547022494 9.052664623780335e-07 1.0009770790020411
2.2653061224489797 0.11124434706744069 1.0391687510491465 1.0772141506706565e-06 1.0009770790020411
2.326530612244898 0.1099120794378905 1.0151879337172431 1.2824078821430107e-06 1.000088900582341
2.387755102040816 0.10946799022804043 0.9938716516444401 1.525929854478622e-06 1.0009770790020411
2.4489795918367347 0.1092459456231154 0.9725553695716371 1.8147680894923385e-06 1.000088900582341
2.510204081632653 0.10880185641326534 0.9530154443382344 2.161839839629788e-06 1.000088900582341
2.571428571428571 0.10880185641326534 0.9316991622654314 2.574027247587412e-06 1.000088900582341
2.63265306122449 0.10791367799356522 0.9139355938714289 3.0605417966666007e-06 1.000088900582341
2.693877551020408 0.10724754417879012 0.8988365607365267 3.646476837929763e-06 1.000088900582341
2.7551020408163263 0.10680345496894006 0.8846257060213247 4.343161437046425e-06 1.000088900582341
2.816326530612245 0.10613732115416497 0.865085780787922 5.159912956436384e-06 1.0009770790020411
2.877551020408163 0.10613732115416497 0.8490985692333197 6.146071065277203e-06 1.000088900582341
2.9387755102040813 0.10591527654923993 0.8322231792590173 7.313705983067256e-06 1.000088900582341
3.0 0.10613732115416497 0.8197886813832156 8.711733862510479e-06 1.000088900582341
