x Psi11 Psi22
3.0 8.830106211914309e-11 2.57139193241836e-09
4.979591836734694 2.586957623890812e-10 2.5715513338164614e-09
6.959183673469388 1.041835608958163e-09 2.5717107390651523e-09
8.938775510204083 2.7320464072463387e-09 2.571870148163421e-09
10.918367346938776 4.226434689520426e-09 2.572029561110161e-09
12.89795918367347 5.038343168916144e-09 2.572188977904338e-09
14.877551020408164 6.138655801379705e-08 2.5723483985448595e-09
16.857142857142858 0.0002038898924518146 2.5725078230306997e-09
18.836734693877553 0.0011280044365040527 2.5726672513607224e-09
20.816326530612248 0.0016864606796129329 2.572826683533976e-09
22.79591836734694 0.00235421549626104 2.5729861195493254e-09
24.775510204081634 0.003116782679821977 2.5731455594057725e-09
26.75510204081633 0.003974374667252423 2.573305003102242e-09
28.73469387755102 0.004927076422197781 2.573464450637664e-09
30.714285714285715 0.005974901865497364 2.573623902011008e-09
32.69387755102041 0.0071178471779535495 2.573783357221259e-09
34.673469387755105 0.00835590723379117 2.573942816267312e-09
36.6530612244898 0.00968907912503738 2.5741022791481875e-09
38.632653061224495 0.011117362128969006 2.574261745862806e-09
40.61224489795919 0.012640757133287125 2.5744212164101833e-09
42.59183673469388 0.014259266266783402 2.5745806907891787e-09
44.57142857142858 0.015972892816060187 2.5747401689988135e-09
46.55102040816327 0.017781641371939192 2.574899651038107e-09
48.53061224489796 0.01968551815127449 2.5750591369059796e-09
50.51020408163266 0.021684531457616084 2.5752186266013986e-09
52.48979591836735 0.023778692244061404 2.5753781201233125e-09
54.46938775510204 0.025968014715648892 2.5755376174707325e-09
56.44897959183673 0.0282525168558765 2.575697118642653e-09
58.42857142857143 0.030632220690049883 2.5758566236380157e-09
60.40816326530612 0.03310715203203331 2.5760161324558123e-09
62.38775510204081 0.03567733945116006 2.5761756450950274e-09
64.36734693877551 0.038342812312460846 2.5763351615546373e-09
66.34693877551021 0.041103598037115344 2.5764946818336198e-09
68.32653061224491 0.043959719161087554 2.5766542059309858e-09
70.3061224489796 0.046911191145973176 2.5768137338457184e-09
72.28571428571429 0.04995802191303558 2.576973265576816e-09
74.26530612244899 0.05310021351685947 2.5771328011232383e-09
76.24489795918367 0.056337765383062156 2.577292340483966e-09
78.22448979591837 0.05967067763501978 2.5774518836580525e-09
80.20408163265307 0.06309895283387551 2.5776114306444495e-09
82.18367346938776 0.06662259516892552 2.577770981442163e-09
84.16326530612245 0.07024160738870684 2.577930536050222e-09
86.14285714285715 0.0739559868557494 2.5780900944676243e-09
88.12244897959184 0.07776572247560114 2.578249656693361e-09
90.10204081632654 0.08167079377409735 2.5784092227264545e-09
92.08163265306123 0.08567117239902061 2.5785687925658397e-09
94.06122448979592 0.08976682533771964 2.5787283662106184e-09
96.04081632653062 0.09395771862360335 2.578887943659782e-09
98.02040816326532 0.0982438204021981 2.5790475249123165e-09
100.0 0.10262510276670954 2.579207109967233e-09
