x Psi11 Psi22
3.0 1.734069773783345e-22 7.583875800011521e-06
4.979591836734694 6.0127038489486414e-05 7.583875800011523e-06
6.959183673469388 0.00012025407697897283 7.583875800011525e-06
8.938775510204083 0.00018038111546845928 7.583875800011531e-06
10.918367346938776 0.00024050815395794566 7.583875800011539e-06
12.89795918367347 0.000300635192447432 7.583875800011548e-06
14.877551020408164 0.0003607622309369185 7.583875800011561e-06
16.857142857142858 0.0004208892694264049 7.583875800011575e-06
18.836734693877553 0.0004810163079158913 7.5838758000115915e-06
20.816326530612248 0.0005411433464053778 7.583875800011611e-06
22.79591836734694 0.000601270384894864 7.583875800011632e-06
24.775510204081634 0.0006613974233843506 7.583875800011655e-06
26.75510204081633 0.000721524461873837 7.58387580001168e-06
28.73469387755102 0.0007816515003633233 7.583875800011708e-06
30.714285714285715 0.0008417785388528098 7.583875800011739e-06
32.69387755102041 0.0009019055773422962 7.583875800011771e-06
34.673469387755105 0.0009620326158317826 7.583875800011805e-06
36.6530612244898 0.001022159654321269 7.583875800011841e-06
38.632653061224495 0.0010822866928107556 7.58387580001188e-06
40.61224489795919 0.0011424137313002418 7.583875800011921e-06
42.59183673469388 0.001202540769789728 7.583875800011964e-06
44.57142857142858 0.001262667808279215 7.583875800012009e-06
46.55102040816327 0.0013227948467687011 7.583875800012057e-06
48.53061224489796 0.0013829218852581876 7.5838758000121065e-06
50.51020408163266 0.001443048923747674 7.583875800012158e-06
52.48979591836735 0.0015031759622371604 7.583875800012213e-06
54.46938775510204 0.0015633030007266467 7.583875800012269e-06
56.44897959183673 0.0016234300392161329 7.583875800012328e-06
58.42857142857143 0.0016835570777056195 7.583875800012389e-06
60.40816326530612 0.0017436841161951057 7.583875800012452e-06
62.38775510204081 0.0018038111546845924 7.583875800012517e-06
64.36734693877551 0.0018639381931740788 7.583875800012585e-06
66.34693877551021 0.0019240652316635653 7.583875800012655e-06
68.32653061224491 0.001984192270153052 7.583875800012727e-06
70.3061224489796 0.002044319308642538 7.583875800012801e-06
72.28571428571429 0.0021044463471320248 7.583875800012878e-06
74.26530612244899 0.002164573385621511 7.583875800012956e-06
76.24489795918367 0.0022247004241109972 7.583875800013037e-06
78.22448979591837 0.0022848274626004837 7.58387580001312e-06
80.20408163265307 0.0023449545010899705 7.583875800013206e-06
82.18367346938776 0.002405081539579456 7.583875800013293e-06
84.16326530612245 0.002465208578068943 7.583875800013383e-06
86.14285714285715 0.00252533561655843 7.583875800013475e-06
88.12244897959184 0.002585462655047916 7.5838758000135684e-06
90.10204081632654 0.0026455896935374023 7.583875800013665e-06
92.08163265306123 0.0027057167320268887 7.583875800013764e-06
94.06122448979592 0.002765843770516375 7.583875800013865e-06
96.04081632653062 0.002825970809005861 7.583875800013967e-06
98.02040816326532 0.002886097847495348 7.583875800014072e-06
100.0 0.002946224885984834 7.58387580001418e-06
