1.000000000000000000e+00 0.000000000000000000e+00
1.050000000000000044e+00 7.692829469152243083e-02
1.129999999999999893e+00 1.805808448295030677e-01
1.199999999999999956e+00 2.568068181917048109e-01
1.330000000000000071e+00 3.742068319198562643e-01
1.449999999999999956e+00 4.641920025741116951e-01
1.860000000000000098e+00 7.069617184174982194e-01
2.399999999999999911e+00 9.697799079855995430e-01
2.990000000000000213e+00 1.238136867418673459e+00
3.500000000000000000e+00 1.467819372237766373e+00
3.979999999999999982e+00 1.685952721245491004e+00
4.389999999999999680e+00 1.875112907904321613e+00
4.719999999999999751e+00 2.029788117762393540e+00
4.990000000000000213e+00 2.158181016264513197e+00
