x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.05 0.0625 0.07084854908151718 0.0762945334637064 0.08565444272589283
1.13 0.158 0.16757096079054884 0.17911740951739166 0.20119588175008238
1.2 0.238 0.23915187567228005 0.2547776953487186 0.28639878683077913
1.33 0.33 0.34986826197097626 0.3714646224685892 0.41840207857520656
1.45 0.417 0.434737364236085 0.4611420224280493 0.5206408751387903
1.86 0.594 0.6632484158710724 0.7055195942745097 0.8047451691761002
2.4 0.767 0.9109080521129448 0.9799874676015404 1.133482918010196
2.99 0.945 1.1671263895893316 1.2857037031416239 1.4980790724644746
3.5 1.13 1.3942319037347832 1.5879663021519461 1.8340799532980876
3.98 1.3 1.6251517305295717 1.9358524111939588 2.172932878745949
4.39 1.48 1.8477750963881288 2.3138270158665803 2.4845230259408737
4.72 1.64 2.0538266711591495 2.701105187891761 2.755976993395073
4.99 1.82 2.2465642716093384 3.097005457591701 2.9953741076907536
