x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.05 0.0625 0.06157348488581301 0.059878000163647395 0.06001618985161739
1.13 0.158 0.1447842659208097 0.14054236905184145 0.1408814966882889
1.2 0.238 0.2060239404287969 0.19983703993912216 0.20034985539897954
1.33 0.33 0.30033334419799096 0.2910779925571294 0.29194182903427396
1.45 0.417 0.37254980502911417 0.36090854294477287 0.3621496095193965
1.86 0.594 0.5666390923353958 0.548682768003055 0.5516511083723188
2.4 0.767 0.7749472328178593 0.751510179251758 0.7574195359449871
2.99 0.945 0.985594429263862 0.9612376312534467 0.9697684387414212
3.5 1.13 1.1650886686449402 1.1475217593973404 1.1559674228777648
3.98 1.3 1.3378219903913096 1.335766752105089 1.3406384682657853
4.39 1.48 1.49546970279137 1.5131306205137054 1.5118350852421591
4.72 1.64 1.6377998973494998 1.671959389776575 1.6641014388221764
4.99 1.82 1.7725504576483393 1.8161829606131368 1.8027413854543788
