x y_gt y_node
1.0 0.0 0.0
1.0381131659368 0.09422839173710008 0.03471484019149993
1.079238996881 0.16039130984207153 0.0605438262560294
1.12093191770895 0.24028123814899488 0.07701517741380251
1.14818767524652 0.25967134794473956 0.08345294667106541
1.20968148451529 0.3307722718517288 0.08775803629494569
1.31955514949119 0.4387249720956252 0.06813776227050464
1.43234696449387 0.5136511762263929 0.020234542170527465
1.6984775211871 0.6574810132862743 -0.18149999109167395
1.95262830408619 0.7729839508410979 -0.4806784542031276
2.501287766611 0.9680171935407491 -1.2751083870139603
3.04193708452789 1.2584540470469319 -0.7946712522185511
3.43895907501338 1.4655743460213626 100.0
3.76355896159541 1.730570421280139 100.0
4.03497054283103 1.9702992469420426 100.0
4.26460650263066 2.2322808802786263 100.0
4.45142717620742 2.4516617668794973 100.0
