x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.01 0.00294 0.009774910134114318 0.009772343501945367 0.009792810693915526
1.13 0.136 0.11422640114884358 0.11410703168335003 0.11434890228486166
1.23 0.235 0.18742318859296844 0.18718901689306092 0.18758895530775527
1.41 0.334 0.29879266678295086 0.2983663832235907 0.2990098693270616
1.61 0.433 0.4033288744529048 0.40270735449202544 0.40357687436552125
1.89 0.519 0.5305175987348425 0.529650366555452 0.5307682283493873
2.17 0.594 0.6451365104067486 0.6440796804989688 0.6453498395489292
2.45 0.68 0.7526303066897723 0.7514641592520808 0.7527455296706271
3.06 0.866 0.973838137594049 0.9732210140412354 0.9736522677256928
3.62 1.06 1.1692507544995359 1.1714574748588105 1.1691426515311247
4.06 1.24 1.3231266900002001 1.3297057723734438 1.3237848945191895
4.82 1.6 1.6717187671912916 1.660479758983044 1.675572285485216
5.41 1.95 2.163469681238842 2.481361157694405 2.037272211283595
5.79 2.3 2.6547369529747593 6.536391528844186 2.203775344970653
6.23 2.68 3.4075472950129346 89.69677086849269 2.3770124921058127
6.46 3.03 3.8762544352654804 100.0 2.4660469267964644
6.67 3.4 4.347602283205556 100.0 2.54713452293778
6.96 3.78 5.065431541579583 100.0 2.6589725637794777
7.14 4.16 5.549803586693642 100.0 2.7283384397458783
7.25 4.49 5.860473728799533 100.0 2.7707135457237917
7.36 4.86 6.182319049941567 100.0 2.8130783163721036
7.49 5.24 6.577171663461151 100.0 2.8631334305801843
7.6 5.6 6.923624403212426 100.0 2.9054780154543014
7.69 6.33 7.2155679798843595 100.0 2.9401173397649774
