x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.01 0.00294 0.009785827643077814 0.00955226264716272 0.009574092013975567
1.13 0.136 0.1146502155514568 0.11131480401423913 0.11157611366568772
1.23 0.235 0.1880193307060098 0.1823593210673218 0.18281778176619642
1.41 0.334 0.29939904903875636 0.2901026233556521 0.29097788479486947
1.61 0.433 0.4036921580846737 0.3909388461795627 0.39242284893897394
1.89 0.519 0.5303577775097758 0.5134783611328169 0.5160975818704228
2.17 0.594 0.6444584726348641 0.6241534159572908 0.6281796685413232
2.45 0.68 0.7515783633192786 0.7286447213295827 0.7342087033354131
3.06 0.866 0.9731588091184794 0.9489422343441632 0.9572332392799862
3.62 1.06 1.171864280258603 1.1555860239756253 1.163582256862079
4.06 1.24 1.3308416160989265 1.3295044332759083 1.3339273615092486
4.82 1.6 1.6409559679430217 1.6772914750788814 1.6681833357387879
5.41 1.95 1.9755518655496724 2.019514989407945 1.9997279546052302
5.79 2.3 2.2740827491311983 2.29582489987452 2.275864051145922
6.23 2.68 2.7245216121241635 2.7033045874863126 2.6958644340127282
6.46 3.03 3.011608946567254 2.9717450317311713 2.975724149804098
6.67 3.4 3.311979645390848 3.2647523874512263 3.279022469667906
6.96 3.78 3.8089715280373757 3.7760115811889734 3.7954361329910022
7.14 4.16 4.189184355708534 4.181768473370832 4.193784621756127
7.25 4.49 4.4627548407741235 4.475493184221235 4.478714070014111
7.36 4.86 4.780996089219417 4.813182633392583 4.806395116097371
7.49 5.24 5.240591552963147 5.282905542265991 5.268944426167759
7.6 5.6 5.737423884197238 5.755507960039531 5.7489058728911155
7.69 6.33 6.258949394985359 6.2062279915969665 6.223628408451108
