x y_gt y_node y_cann y_icnn
1.0 0.0 0.0 0.0 0.0
1.01 0.00294 0.01107265319608319 0.012119942490444357 0.01357181597012286
1.13 0.136 0.1273989613890646 0.13497446891639805 0.14702568851910472
1.23 0.235 0.20439306215384612 0.21411392359633272 0.22857764125548574
1.41 0.334 0.31446620522892144 0.32457394503215714 0.33617083598881825
1.61 0.433 0.4108188950547141 0.41909361564115366 0.4231362146377479
1.89 0.519 0.5214289489927805 0.525528092286626 0.5182920304215762
2.17 0.594 0.6174896294043374 0.6167021391020413 0.6011190034884676
2.45 0.68 0.7064147058688965 0.7007388947456771 0.6812621462830951
3.06 0.866 0.8922188180222935 0.8786583865242817 0.8663476502507409
3.62 1.06 1.0686769388316104 1.0548409977197715 1.0611958200595428
4.06 1.24 1.2233168088023016 1.2149565676986718 1.2354400886440258
4.82 1.6 1.566833207996795 1.5714359253233223 1.599325762791338
5.41 1.95 1.9531437406351992 1.9575628825606584 1.9657779893849663
5.79 2.3 2.279588186929434 2.2791615026240364 2.2613562023405307
6.23 2.68 2.74739077210716 2.7456918942318413 2.7255702193105336
6.46 3.03 3.0371538486863034 3.0391872897072507 3.037266261541672
6.67 3.4 3.3362919170609366 3.343630184859262 3.351618276064253
6.96 3.78 3.825157426000202 3.8371921461511436 3.805183328674106
7.14 4.16 4.195869270427155 4.204358106370075 4.156581821543079
7.25 4.49 4.461890880091601 4.464530091874229 4.484581709003491
7.36 4.86 4.771829638885948 4.766575242921642 4.866465649740184
7.49 5.24 5.223693984293402 5.211008769632619 5.239922278260944
7.6 5.6 5.7248993875606144 5.71621337203955 5.597051611150673
7.69 6.33 6.2771467147934015 6.286355435201772 6.3306263863719385
