F11,P11
1.00E+00,0.00E+00
1.01E+00,2.94E-03
1.13E+00,1.36E-01
1.23E+00,2.35E-01
1.41E+00,3.34E-01
1.61E+00,4.33E-01
1.89E+00,5.19E-01
2.17E+00,5.94E-01
2.45E+00,6.80E-01
3.06E+00,8.66E-01
3.62E+00,1.06E+00
4.06E+00,1.24E+00
4.82E+00,1.60E+00
5.41E+00,1.95E+00
5.79E+00,2.30E+00
6.23E+00,2.68E+00
6.46E+00,3.03E+00
6.67E+00,3.40E+00
6.96E+00,3.78E+00
7.14E+00,4.16E+00
7.25E+00,4.49E+00
7.36E+00,4.86E+00
7.49E+00,5.24E+00
7.60E+00,5.60E+00
7.69E+00,6.33E+00
