F11,P11
1.00E+00,0.00E+00
1.05E+00,6.25E-02
1.13E+00,1.58E-01
1.20E+00,2.38E-01
1.33E+00,3.30E-01
1.45E+00,4.17E-01
1.86E+00,5.94E-01
2.40E+00,7.67E-01
2.99E+00,9.45E-01
3.50E+00,1.13E+00
3.98E+00,1.30E+00
4.39E+00,1.48E+00
4.72E+00,1.64E+00
4.99E+00,1.82E+00
